,SAS Contact,TA,Last Update, Interview Target,Investigate,Entity Name,Stakeholder Category,Stakeholder Group,Development Stage,Product Group,Products 1,Products 2,Products 3,Products 4,Products 5,Stakeholder Description,Stakeholder Public/Private,ID (Ticker or D&B ID),NAICS,Website,Headquarters City,Headquarters State,Headquarters Country,Phone Number,Email,Stakeholder Contact,Principal (CEO),Year Founded,Number of Employees,Parent Company,On Market,Product Name,SKU/ID,Notes,Product Category (OLD),Product Group (OLD)
,,,8/7/22,,,Puritan's Pride,Processing & Manufacturing,Product Manufacturers,Manufacturer,Essential Compounds,Nutraceuticals,,,,,"Puritan's Pride was founded in 1973 as a brand of dietary supplements. They now operate as a supplement marketplace, selling dozens of brands of vitamins, minerals, herbs, and other nutritional supplements for people and pets",Private,,"44,445",(https://www.puritan.com/),Oakdale,NY,USA,1-800-654-1030,N/A,,Paul Sturman,1973,1-10,N/A,yes,,N/A,,Nutraceutical,Essential Compounds
,,,8/7/22,,,Lunch Box Gummies,Processing & Manufacturing,Product Manufacturers,Manufacturer,Essential Compounds,Nutraceuticals,,,,,"Lunchbox Alchemy CBD gummies are infused with full-spectrum extract derived from Oregon-grown hemp. In addition to high quality USA grown hemp extract, adaptogens are included to work in synergy with the potential benefits of CBD. Crafted with organic and natural ingredients.",Private,,"311,412,311",(https://lunchboxgummies.com/),Bend,OR,USA,720-726-6507,help@lunchboxalchemy.com,,N/A,N/A,N/A,SLANG WORLDWIDE,yes,,N/A,"Alternative company name and website: Lunchbox Alchemy, https://lunchboxalchemycbd.com/",Nutraceutical,Essential Compounds
,,,8/7/22,,,Jaded,NA,NA,,Essential Compounds,Nutraceuticals,,,,,,Private,,,(https://jadedcbd.com/),,,,646-450-6813,hello@jadedcbd.com,,,,,,Not Sure,,N/A,,Nutraceutical,Essential Compounds
,,,8/7/22,,,The Twisted Monk,Processing & Manufacturing,Product Manufacturers,Manufacturer,Bast Fiber,Cordage,,,,,"The Twisted Monk was originally founded in 2004 when Monk began experimenting with rope bondage and made a batch of rope for his own use. The response was so positive that he started making more for others, eventually forming a business and processing hemp in his backyard.",Private,,"314,993,149",https://www.twistedmonk.com/,,WA,USA,206-938-7527,customerservice@twistedmonk.com,,N/A,2004,N/A,N/A,YEs,,N/A,,Cordage,Bast Fiber
,,,8/7/22,,,R&W Rope,Processing & Manufacturing,Product Manufacturers,Manufacturer,Bast Fiber,Cordage,,,,,"R&W Rope is a family owned and operated distributor of rope and cordage since 1985. Our mission at R&W Rope is to make our customers happy; we do this by having the best value, quality, and service available. We have polyester, cotton, recycled plastic, synthetic manila, and nylon rope available.",Private,,"42,499,424",(https://rwrope.com/),New Bedford,MA,USA,508-995-1114,N/A,, Rod McCollester,1985,17,N/A,YEs,,N/A,,Cordage,Bast Fiber
,,,8/7/22,,,Carolina Coops,Farming & Allied Services,Farmers in hub cohorts,Manufacturer,Hurds,Absorbent bedding,,,,,A company that produces Chicken Coops for Backyard Flocks.,Private,,"3,219,321",https://carolinacoops.com/,,NC,USA,919) 794-3989,N/A,,Matt DuBoise,1996,47,NO,YES,,N/A,,Absorbent bedding,Hurds
,,,8/7/22,,,Circle Creation,Processing & Manufacturing,Product Manufacturers,Manufacturer,Bast Fiber,Fabric,,,,,"Circle Creations is a small, family owned business that has been designing and producing hemp and natural fiber clothing since 1996. ",Private,,453220,https://circlecreations.net/,Eugene,OR,USA,541-485-8117,@circlecreationsclothing,,Jeremy Allaire,1996,>25,NO,YES,,N/A,,Cordage,Bast Fiber
,,,8/3/22,,,Earth Merchant,Farming & Allied Services,NA,Handling/Processing,Hurds/Bast Fiber,Mortar,,,,,"Earth Merchant is an innovative, one-stop business solution that has streamlined the process of growing, manufacturing and branding sustainable hemp products like our innovative hempcrete, and hemp bricks.",Private ,,N/A,https://earthmerchant.com/,,WA,USA,(515) 778-7712,info@earthmerchant.com,,Gina Engel,2020,,,YES,,,,Mortar,Hurds/Bast Fiber
,,,8/4/22,,,BOLT NEIGHBORHOOD FABRIC BOUTIQUE,Processing & Manufacturing,Product Manufacturers,Manufacturer,Primary (line),Fabric,,,,,"Bolt Fabric Boutique is a collection of natural, sustainable, apparel and quilting fabric and sewing supplies, thoughtfully curated for home sewers.",Private ,,"45,451",https://shop.boltfabricboutique.com/,Portland,OR,USA,(503)287-2658,info@boltfabricboutique,,,2005,,,,,,,Fabric,Primary (line)
,,,8/4/22,,,sympaticoclothing,Processing & Manufacturing,Product Manufacturers,Manufacturer,Primary (line),Fabric,,,,,"We make and sell timeless women’s fashions crafted in the USA with a sustainable blend of hemp/Tencel fabric. Everyday eco-friendly tops, skirts and pants made for movement, style and comfort.",Private ,,"44,448",https://www.sympaticoclothing.com/,Jacksonville,OR,USA,541.899.3988,contact@sympaticoclothing.com,,Rose,2006,,,,,,,Fabric,Primary (line)
,,,8/4/22,,,Aurora Silk,Processing & Manufacturing,Product Manufacturers,Manufacturer,Primary (line),Fabric,,,,,,Private ,,"42,424",https://aurorasilk.com/wp/,Portland,OR,USA,(503) 286-4149,aurorasilkpdx@gmail.com,,Ms.Cheryl Kolander,1969,,,,,,,Fabric,Primary (line)
,,,8/5/22,|,,tinctoria designs,Processing & Manufacturing,Product Manufacturers,Manufacturer,Primary (line),Fabric,,,,,This organization primarily operates in the Boutiques business / industry within the Apparel and Accessory Stores sector.,Private,,"54,541",https://tinctoriadesigns.com/,Portland,OR,USA,503-810-9232,sales@tinctoriadesigns.com,,Samantha Backer and Jill Golden,2003,,,,,,,Fabric,Primary (line)
,,,8/5/22,,,AbundantEarth,Processing & Manufacturing,,,Bast Fiber,Carpeting,,,,,"Abundant Earth provides environmentally sensitive products and services for people who want to ""make a difference"" in the world",Private,,"44,442",https://www.abundantearth.com/,Bellingham,WA,USA,888-513-2784,sales@abundantearth.com,,,,,,Y,Natural Hemp Area Rugs,,,Carpeting,Bast Fiber
,,,8/6/22,,,ALOHA,Processing & Manufacturing,Product Manufacturers,Products,Post Extract,Supplement,,,,,"ALOHA is an employee-owned and operated company committed to making the healthiest, best-tasting plant-based protein products on the planet.",Private,,519190,https://aloha.com/,Littleton,CO,USA,(212)-344-6293,care@aloha.com,,Bradley Charron,2017,61,,Y,Vanila Protein Powder,,,Supplement,Post Extract
,,,8/6/22,,,AMERICAN HEMP LLC,Distribution,Retail,Markets,"Bast Fiber, Hurds","Insulation, Absorbent bedding",,,,,"American Hemp will supply manufacturers, who are interested in reducing their carbon footprint, with quality hemp material. ",Private,,"424590, 424",https://americanhempllc.com/,Winston Salem,NC,USA,(336) 529-7968,,,,2009,,,Y,Hempcrete,,,"Insulation, Absorbent bedding","Bast Fiber, Hurds"
,,,8/12/22,,,Azure Standard,Distribution,Wholesale,Products,Primary (Line),Nutrition,Personal Care,Chemicals,Fabric,,"Azure provides a full complement of healthy organic foods and natural products at family-friendly prices, but we are unique in our approach and values. ",Private,,"444,451",https://www.azurestandard.com/,Dufur,OR,USA,971-200-8350,info@azurestandard.com,,David Stelzer,1956,153,,Y,"Hemp Hearts, Organic",1388341,,Nutrition,
,,,8/12/22,,,Badia,Distribution,Wholesale,Products,Primary (Line),Nutrition,Food,,,,"Badia Spices Inc. is committed to delivering the finest quality spices, marinades, sauces, side dishes, specialty items, and more at the best price. ",Private,,424490,https://badiaspices.com/,Doral,FL,USA,(305)-629-8000,custserv@badiaspices.com,,Joseph “Pepe”Badía,1967,"501-1,000",,Y,HULLED HEMP SEEDS,,,Nutrition,
,,,8/12/22,,,Bob's Red Mill,Processing & Manufacturing,Retail,Products,Post Extract,"Nutrition, Supplement",Flour,Food,,,"Bob's Red Mill Natural Foods produces more than 400 products, including a full line of certified gluten free products and an extensive line of certified organic products. ",Private,,"72,233,112",https://www.bobsredmill.com/,Milwaukie,OR,"Canada, USA",(503) 607-6455,customerservice@bobsredmill.com,,Trey Winthrop,1978,600,,Y,"Hulled Hemp Seed Hearts, Hemp Protein Powder",,,"Nutrition, Supplement",Post Extract
,,,8/12/22,,,Brick & Mortar Hemp Co.,Processing & Manufacturing,Retail,Manufacturer,Hurds,Mortar,,,,,Sheboygan County's premier CBD/Delta 8 Dispensary providing a vast selection of high-quality locally-sourced Hemp products.,Private,,"45,453,991",https://brickandmortarhemp.com/,Sheboygan,WI,USA,(920) 226-3112,brickandmortarhemp@gmail.com,,Jordon Wakefield,2019,<25,,Y,Hemp Mortar,,,Mortar,Hurds
,,,8/12/22,,,Cadia,Distribution,Retail,Manufacturer,Primary (Line),Nutrition,Food,,,,CADIA® offers private label solutions exclusively to independent natural grocers.,Private,,"4,244,244",https://mycadia.com/,Boulder,CO,USA,303-228-9030,info@mycadia.com,,N/A,2010,<500,KEHE Distributors,Y,Raw Hemp Seed,,,Nutrition,
,,,8/12/22,,,Califa Farms,Processing & Manufacturing,Product Manufacturers,Products,Primary (Line),Dairy,,,,,"Califia Farms creates innovative, healthy and great-tasting premium beverages that make it easy for consumers to go plant-based and dairy-free, without compromise. ",Private,,"11,112",https://www.califiafarms.com/,Los Angeles,CA,USA,(844) 237-4779,sales@califiafarms.com,,Dave Ritterbush,2010,224,,Y,Hemp Barista Blend,,,Dairy,
,,,8/12/22,,,Ecomil,Processing & Manufacturing,Retail,Products,Primary (Line),Dairy,,,,,Producer and retailer of organic vegan drinks and beverages intended to help clients stay healthy and fit.,Private,,"44,445",https://ecomil.com/en/,Murcia,,Spain,34 (902)159151,marketing.export@nutriops.com,,N/A,1991,30,Nutriops,Y,Hemp Drink Suger-Free Biol,,,Dairy,
,,,8/12/22,,,Elmhurst,Processing & Manufacturing,Retail,Products,Primary (Line),Dairy,,,,,"Elmhurst® is the fastest growing plant-based beverage company, crafting simple, nutritious and delicious plant-based dairy alternatives.",Private,,"11,112",https://elmhurst1925.com/,Elma,NY,USA,888-356-1925,cs@elmhurst1925.com,,Henry Schwartz,1925,66,,Y,"Hemp Barista Edition, Caramel Macchiato Oat Creamer, Pumpkin Spice Oat Creamer,Pistachio Crème Oat Creamer",,,Dairy,
,,,8/12/22,,,Essential Organics,,,,,Nutrition,,,,,,Private,,"42,424",https://essentialorganicingredients.com/,Indianapolis,IN,USA,(787) 796-8181,info@omfoods.com,,,,,,Y,Organic Hemp Hearts,,,Nutrition,
,,,8/17/22,,,Food to Live,Processing & Manufacturing,Wholesale,Products,Primary (Line),Nutrition,Food,Flour,Plant-based Protein,,"Food to Live provides a wide selection of the kind of foods your body thrives on. Eating Food to Live style results in a diet free of unhealthy cravings, high fat, high sodium and sugary junk food.",Private,,111998,https://foodtolive.com/,Brooklyn,NY,USA,(347) 713-4968,help@foodtolive.com,,Alexander Melnik,2012,5,,Y,Hemp Seeds,8-15369-01351-2,,Nutrition,
,,,8/17/22,,,Fusion Mineral Paint,Processing & Manufacturing,Product Manufacturers,Manufacturer,Oil,Paint,,,,,We provide premium paints and decorative finishes that are second to none in the market.,Private,,"23,238,320",https://fusionmineralpaint.com/,,Ontario,Canada,N/A,application@fusionmineralpaint.com,,Jennylyn Pringle,2014,100-200,Homestead House Paint Co,Y,Hemp Oil Wood Finish,,,Paint,Oil
,,,8/17/22,,,GlobalCBD,Processing & Manufacturing,Wholesale,Products,Oil,Personal Care Products,,,,,"Premium Products with 99% Pure Cannabidiol, No THC, Non-GMO, organically grown agricultural hemp.",Private,,"45,453",https://globalcbd.com/,Sandpoint,ID,USA,208-340-9414,info@globalcbd.com,,Joel Bordeaux,2016,6,,Y,"PET CARE NANO CBD DROPS 2000, Deep Relief CBD Massage Oil, SubZero Roll On Pain Gel, Dry Lips CBD Lip Balm",,,Personal Care Products,Oil
,,,8/17/22,,,Go Green Hemp,Processing & Manufacturing,Product Manufacturers,Products,Extracting,Pharmaceutical,Personal Care,,,,GoGreen Hemp is a family owned and operated company and the exclusive manufacturing of THC-Free Broad Spectrum CBD products.,Private,,446191,https://www.gogreenhemp.com/,Plantation,FL,USA,954-533-0089,info@gogreenhemp.com   ,,Romas Marcinkevicius,2016,385,,Y,"Hemp Horse Pellets For Horses & Livestock, Hemp Dog Chews",,,Pharmaceutical,Extracting
,,,8/17/22,,,Good Hemp,Distribution,Retail,Agricultural Production,Primary (Line),"Nutrition, Dairy",Plant-based Protein,Food,Fabric,,Good Hemp are the leading hemp consumer brand and hemp ingredient producer in the UK and Europe. We predominantly supply the food industry and fast-growing sports nutrition sector both in the UK and overseas.,Private,,"11,111,998",https://www.goodhemp.com/,Tawstock,,"England, Europe",01271 858377,hello@goodhemp.com,,Douglas V. Martin (temporary),1998,<25,Braham & Murray Ltd.,Y,"Hemp Seed Hearts, Barista Seed Milk, Seed Milk, Oat + Hemp Milk",,,"Nutrition, Dairy",
,,,8/17/22,,,"Good Mylk Co.,",Processing & Manufacturing,Retail,Products,Primary (Line),Dairy,,,,,"Based in Los Angeles, Goodmylk Co. is on a mission to “keep it real” with organic, truly nutritional plant mylks made from only the good stuff, and nothing else. No chemicals, no binders, no fillers, and above all – no compromises. ",Private,,"42,443,424",https://goodmylk.co/,Los Angeles,CA,USA,(310) 439-0593,guru@goodmylk.co,,Brooke Harris,2018,<50,,Y,"Hemp Mylk Concentrate, Organic Hemp Mylk Concentrate, Pure Hemp Mylk Concentrate",,,Dairy,
,,,8/17/22,,,Hemp Traders,Distribution,Wholesale,Manufacturer,Bast Fiber,Fabric,,,,,"Hemp Traders is the largest supplier of hemp fiber products in the country. We supply hemp fabric, hemp boards, hemp twine, hemp rope, hemp webbing and more. ",Private,,"424,314,243",https://www.hemptraders.com/,Paramount,CA,USA,(562) 630-3334,contact@hemptraders.com,,Lawrence Serbin,1994,<25,,Y,"Knit hemp scraps, 45% Organic Cotton, 36% Recycled Poly, 19% Hemp Jersey Fabric, Woven hemp scraps, 70% Organic Cotton, 30% Hemp Jersey Yarn Dyed Fabric, 45% Hemp, 40% Organic Cotton, 15% Recycled Poly Fabric, 70% Organic Cotton, 30% Hemp Jersey Fabric, 52% Hemp, 48% Organic Cotton Fishnet Fabric, 70% Cotton, 30% Hemp Thermal Knit Fabric, 55% Hemp, 45% Organic Cotton Jersey, Yellow Stripe Fabric, 92% Recycled Poly, 8% Hemp Jersey Fabric, 70% Organic Cotton, 30% Hemp Rib Knit Fabric, 92% Cotton, 8% Hemp Sheer Fabric, 64% Organic Cotton, 28% Hemp, 8% Lycra Jersey fabric, 67% Organic Cotton, 33% Hemp Fabric, 100% Hemp Mesh Fabric, 53% Hemp, 42% Organic Cotton, 5% Lycra Rib Knit, 55% Hemp, 45% Organic Cotton Sweater Knit, 55% Hemp, 45% Organic Cotton Muslin, 55% Hemp, 45% Tencel, 100% Hemp Linen, Taupe, Hemp Fabric Swatch Book, Wovens, Hemp Fabric Swatch Book, Knits, 70% Cotton, 30% Hemp Waffle Knit, 54% Hemp, 43% Organic Cotton, 3% Lycra Rib Knit, 60% Hemp, 40% Silk Jacquard, 100% Hemp Plain Weave, 100% Hemp Summercloth, 100% Hemp Canvas, 86% Organic Cotton, 14% Hemp Suede, 77% Cotton, 23% Hemp Terrycloth Towel, 80% Organic Cotton, 20% Hemp Sheeting, 60% Hemp, 40% Silk, 92% Hemp, 8% Polyester Fiber Insulation, HempCrete Binder, Natural Hemp Fiber Insulation Batts, Sample Hemp Board, 100% Hemp Rope 6mm",SCRAP-K,,Fabric,Bast Fiber
,,,8/17/22,,,HEMPBASICS,Processing & Manufacturing,Wholesale,Manufacturer,Bast Fiber,Cordage,,,,,Our company is working for a sustainable future by offering an entire product line of natural earth-friendly products from Hemp fiber grown and produced responsibly and locally manufactured in adherence to fair-trade practices and principles.,Private,,"        42431, 4243",https://hempbasics.com/,Warren Township,NJ,USA,888-831-3747,N/A,,Steven Logotheis,1991,31,,Y,"Unpolished Yellow/Blue Hemp Twine, Polished Hemp Twine, Hemp Drawstring, Hemp Cord, Natural Hemp ""Super Fine Lace Weight"" Yarn",,,Cordage,Bast Fiber
,,,8/17/22,,,HempBlockUSA,Processing & Manufacturing,Product Manufacturers,Manufacturer,Bast Fiber,Insulation,,,,,"Supply of hempcrete building blocks for walls made of long lasting, fireproof, breathable and natural materials.",Private,,"33,23",https://hempblockusa.com/,N/A,N/A,"Australia, USA",(855) 795-0012 ,N/A,,Johan Tijssen,,,,Y,"HempBLOCK LB 300, HempBLOCK",,,Insulation,Bast Fiber
,Jonathan Leong,,8/17/22,,,Hempitecture Inc.,Processing & Manufacturing,Wholesale,Products,Bast Fiber,Insulation,,,,,"Hempitecture is a sustainable materials company focused on high performing, low embodied carbon products for the built environment. ",Private,,"425,142,511",https://www.hempitecture.com/,Ketchum,ID,USA,(973) 943-9239,Sales@Hempitecture.com,,Mattie Mead,2018,>10,,Y,"R7 HempWool, R13 HempWool, R20 HempWool, R28 HempWool",,,Insulation,Bast Fiber
,,,8/17/22,,,Hempmania,Processing & Manufacturing,Retail,Products,Bast Fiber,"Cordage, Personal care, Bag",,,,,"Since 1997 Hempmania has created an extensive line of high quality, earth-friendly hemp products including hemp bags, hemp backpacks, hemp wallets and a wide range of hemp accessories. ",Private,,"3,169,316",https://www.hempmania.com/,Bainbridge Island,WA,USA,206-855-9620,info@hempmania.com,,Steve Black,1997,<25,,Y,"Hemp Cord Braided Bracelet/Anklet, Hemp Cord, Hemp Twine, Hemp Ultra Mini Urban Bag, Hemp Deluxe Backpack, Hemp Three Pocket Fanny, Hemp Simple Shopper, Hemp Slim Bifold, Merry Hempsters Vegan Hemp Balm",BA4-H,,"Cordage, Personal care, Bag",Bast Fiber
,,,8/17/22,,,Hempowerful,Processing & Manufacturing,Product Manufacturers,Manufacturer,Hurds,Absorbent bedding,Fabric,,,,N/A,Private,,"31499, 3149",https://hempowerful.com/,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,Y,HEMP Hurds Animal Bedding,,,Absorbent bedding,Hurds
,,,8/17/22,,,HempSolutionOregon,Processing & Manufacturing,Wholesale,Manufacturer,Hurds,Absorbent bedding,,,,,"ALL OF OUR HEMP SOLUTIONS PRODUCTS ARE MADE FROM QUALITY 100% HEMP HURD. WE STRIVE TO HELP CREATE A POSITIVE IMPACT BY OFFERING SUSTAINABLE, EARTH-FRIENDLY, COMPOSTABLE & TREE FREE PRODUCTS!",Private,,N/A,https://hempsolutionsoregon.org/,Boring,OR,USA,(503) 558-4988,sales@hempsolutionsoregon.org,,N/A,2017,N/A,,Y,AgroBedding,,,Absorbent bedding,Hurds
,,,8/17/22,,,HempTechGlobal,Processing & Manufacturing,Product Manufacturers,Manufacturer,Hurds,Absorbent bedding,Fabric,Fiber board,,,"Hemp Technologies Global believes that Industrial Hemp can help save world economies, build affordable homes, grow high-protein, nutrient-dense foods, provide warmth, create Jobs and help heal the sick.",Private,,N/A,https://hemptechglobal.com/,Asheville,NC,USA,N/A,N/A,,Greg Flavall,2008,N/A,,Y,Hemp Hurds,,,Absorbent bedding,Hurds
,Dr. Karl Haapala,,8/17/22,,,HempWood,Processing & Manufacturing,Wholesale,Manufacturer,Bast Fiber,Panel,Fiber board,,,,"HempWood® is a face grade interior hardwood. Through compression and adhesion, HempWood® is made from full length fiber hemp stalks and soy-based glue. ",Private,,"321912, 321918, 423310, 444190",https://hempwood.com/,Murray,KY,USA,888-338-1235,sales@hempwood.com,,Greg Wilson,2018,<50,"Fibonacci, LLC",Y,HempWood® Panels,,,Panel,Bast Fiber
,,,8/17/22,,,HKliving,Processing & Manufacturing,Wholesale,Products,Bast Fiber,Carpeting,,,,,"At the base HKliving creates accessible collections with products inspired by traditional and useable designs while respecting its history, but always to give it a modern look and feel.",Private,,"541, 541410",https://hkliving.com/,Dronten,,Netherlands,31 321 382 631,info@hkliving.nl,,"Emiel Hetsen, Sander Klaver",2008,53,,Y,Hemp rug,,,Carpeting,Bast Fiber
,,,8/17/22,,,HomeStead House,Processing & Manufacturing,Product Manufacturers,Manufacturer,Oil,Paint,,,,,"Originating as the only Canadian Milk Paint manufacturer, our family run company has shown its dedication and commitment to providing high quality paints across North America since 1989. ",Private,,"44, 44412",http://www.homesteadhouse.ca/,,Ontario,Canada,(866) 269-9430,info@homesteadhouse.ca,,Sean Scott,1989,,,Y,Hemp Oil,,,Paint,Oil
,,,8/17/22,,,HUM Nutrition,Processing & Manufacturing,Retail,Products,Post Extract,Supplement,,,,,"HUM’s mission is to help everyone look and feel their absolute best. Through combining the exact, pure & potent nutrients for visible, life-changing results, each unique formula starts beauty from within. ",Private,,"325611, 44",https://www.humnutrition.com/,West Hollywood,CA,USA,(888) 647-8880,healthy@humnutrition.com,,Walter Faulstroh,2012,41,,Y,"Core Strength Protein Powder Vanila, Core Strength Vegan Protein Powder",,,Supplement,Post Extract
,,,8/17/22,,,Joy Organic,Distribution,Retail,Products,Extracting,Pharmaceutical,Nutraceuticals,,,,Joy Organics is a family-owned and operated CBD business that specializes in full spectrum and THC-free hemp products. ,Private,,"45, 42421",https://joyorganics.com/,Fort Collins,CO,USA,(833) 569-7223,support@joyorganics.com,,Joy Smith,2018,39,,Y,Hemp Softgels,,,Pharmaceutical,Extracting
,,,8/17/22,,,Just Hemp Food,Processing & Manufacturing,Retail,Products,Primary (Line),Supplement,Food,Plant-based Protein,,,"Just Hemp Foods is committed to creating and delivering pure, functional, healthy hemp food products for all.",Private,,"44, 44511",https://www.justhempfoods.com/,Niverville,Manitoba,Canada,N/A,N/A,,N/A,N/A,N/A,,Y,Hemp Protein + Fiber,,,Supplement,Post Extract
,,,8/17/22,,,Kirkland Signature,Distribution,Wholesale,Products,Primary (Line),Nutrition,Food,,,,N/A,Private,,N/A,https://www.costco.com/kirkland-signature.html,Issaquah,WA,USA,N/A,N/A,,W. Craig Jelinek,1997,,Costco,Y,"Hemp Hearts, Organic",S150-1,,Nutrition,
,,,8/17/22,,,Laird SuperFood,Processing & Manufacturing,Retail,Products,Post Extract,Supplement,Food,,,,"Laird Superfood is an ""Alternative Energy""​ company.  Through its award-winning line of Coffee Creamers, Laird Superfood is focused on providing consumers with the strongest and most sustained all-natural energy source available in the marketplace today. ",Private,,"424490, 31192",https://lairdsuperfood.com/,Sisters,OR,USA,(888) 670-6796,aloha@lairdsuperfood.com,,Jason Vieth,2015,145,,Y,"RENEW PLANT-BASED PROTEIN, RENEW PLANT-BASED PROTEIN CACAO",,,Supplement,Post Extract
,,,8/3/22,,,Living Harvest,Processing & Manufacturing,Product Manufacturers,Products,Post-extract,Dairy,Plant-based Protein,Food,NA,NA,Became pioneers in the hemp industry and produced the first hemp seed protein powder,Public,,,https://livingharvest.com/,Manitoba,,Canada,888-417-9343,sales@tempthemp.com,https://livingharvest.com/#contact,Charles Holmes,2000,,Living Harvest Conscious Nutrition,Y,"Hemp Milk Chocolate, Unsweetened Original Hemp, Tempt Hemp Milk, Unsweetened Vanilla, Tempt Hemp Milk Original, Tempt Hemp Vanila Milk",,,Dairy,
,,,7/25/22,,,Manitoba Harvest,Processing & Manufacturing,Product Manufacturers,Products,Post Extract,Food,Plant-based Protein,NA,NA,NA,mission to transform consumer health starts simply and sustainably: with hemp,Public,,,https://manitobaharvest.com/,Manitoba,,Canada,204-953-0233,,https://manitobaharvest.com/pages/contact-us,Martin Moravick,1998,,,Y,"Organic Hemp Hearts, Natural Hemp Seeds, Hemp Yeah! Original, Hemp Yeah! Unsweetened Original, Hemp Yeah! Unsweetened Vanila, Hemp Yeah! Unsweetened Chocolate, Hemp Yeah! Max Protein Unsweetened.",7098,,"Nutrition, Dairy, Supplement",Post Extract
,,,7/25/22,,,Mirreco,Distribution,Wholesale,Markets,,Food,NA,NA,NA,,progressive company driving explosive potential from the emerging multi-billion dollar hemp industry,,,,https://mirreco.com/,,,,,info@mirreco.com,https://mirreco.com/connect/,,,,,Y/N?,3D printed hempcrete house,,,,
,,,8/4/22,,,Natural Grocers,Distribution,Retail,Markets,,Nutrition,Food,Pharmaceutical,Plant-based Protein,Flour,Our products are here to support the health and wellbeing of our communities,Public,,,https://www.naturalgrocers.com/,,,,303-986-4600,,https://www.naturalgrocers.com/vendors,Margaret Isely,1955,,,Y,Non GMO Hemp Seeds,SE351,,Nutrition,
,,,8/4/22,,,Nature's Fabric,Processing & Manufacturing,Retail,Products,Bast Fiber,Fabric,,,,,bring you the very best fabric for all your sewing needs,,,,https://naturesfabrics.com/,Edinboro,PA,USA,814-734-7137,sales@naturesfabrics,,,,,,Y,"Hemp Cotton Fleece 280/370/500 GSM, Bamboo Hemp Fleece 280/400/500 GSM, Bamboo Hemp Stretch Fleece 340 GSM, Natural Hemp Cotton Jersey 220/240 GSM, Natural Hemp Stretch Jersey 240/300 GSM, Hemp Stretch French Terry 340 GSM, Hemp Cotton French Terry 390 GSM, Eggplant Heather Hemp Blend Chambray, Natural Hemp Organic Cotton Canvas, Natural Hemp Cotton Velour",,,Fabric,Bast Fiber
,,,8/4/22,,,Navitas Organics,Processing & Manufacturing,Retail,Products,Post Extract,"Supplement, Nutrition",Food,NA,,,stay nourished and energized with superfood snacks and drinks,,,,https://navitasorganics.com/,Novato,CA,USA,415-883-8116,,https://navitasorganics.zendesk.com/hc/en-us/requests/new,Zach Adelman,2003,,,Y,"Hemp Powder, Hemp Seeds",,,"Supplement, Nutrition",Post Extract
,,,8/6/22,,,NovEnvion,,,,Bast Fiber,Insulation,,,,,,,,,,,,,,,,,,,,Y,"Hemp Insulation Panel, Hempcrete",,,Insulation,Bast Fiber
,,,8/6/22,,,Now Real Food,Processing & Manufacturing,Retail,Products,,Nutrition,,,,,,,,,https://www.nowfoods.com/products/natural-foods/brand/now-real-food,Bloomingdale,IL,USA,888-669-3663,,https://www.nowfoods.com/about-now/contact-us,Jim Emme,1968,,,Y,Harvest Hemp Seeds,,,Nutrition,
,,,8/6/22,,,Nutiva,Processing & Manufacturing,Retail,Products,Post Extract,"Nutrition, Supplement",,,,,Bright future for all is rooted in healthy food,,,,https://www.nutiva.com/,RIchmond,CA,USA,800-993-4367,,https://www.nutiva.com/pages/contact,John Roulac,1999,,,Y,"Organic Shelled Hemp Seed, Organic Hemp Seed Protein, Organic Plant Protein Superfood Smoothie",,,"Nutrition, Supplement",Post Extract
,,,8/6/22,,,Nutra Organics,Processing & Manufacturing,Retail,Products,Post Extract,Supplement,Personal Care,,,,"Transform your beauty and wellbring with pure, potent, proven formulas",,,,https://nutraorganics.com.au/,South Murwillumbah,NSW,Australia,02-6672-4798,wholesale_orders@nutraorganics.com.au,,Mark and Darlene Powell,1998,,,Y,"Hemp Protein Beauty Berries, Hemp Protein Creamy Vanila",,,Supplement,Post Extract
,,,8/6/22,,,Nuts.com,Processing & Manufacturing,Retail,Products,Post-extract,Nutrition,Food,,,,We continue to make sure that every product we sell is second to none,,,,https://nuts.com/,Cranford,NJ,USA,800-558-6887,care@nuts.com,,Jeffrey Sol,1999,,,Y,"Hemp Seeds, Organic Hemp Seeds, Toasted Hemp Seeds (Salted)",7558,,Nutrition,
,,,8/6/22,,,Old Dominon Hemp,Distribution,Transporters,Handling/Processing,Hurds,Absorbent bedding,NA,,,,"Distributor of high-quality hemp bedding for horses, chickens, and pets",,,,https://www.odhemp.com/,Waynesboro,VA,USA,434-987-0177,sales@odhemp.com,,,,,,Y,Hemp Horse Bedding,,,Absorbent bedding,Hurds
,,,8/6/22,,,Oriya Organics,Processing & Manufacturing,Retail,Products,Post Extract,Supplement,Plant-based Protein,,,,"Raise the bar in regards to organic, plant-based nutrition",,,,https://oriyaorganics.com/,,,USA,,info@oriyaorganics.com,,,,,,Y,"Gather Paleo Protein, 100% Plant Protein",,,Supplement,Post Extract
,,,8/6/22,,,Pacific Foods,Processing & Manufacturing,Retail,Products,Post-extract,Dairy,Plant-based Protein,,,,We are out to Nourish Every Body,,,,https://www.pacificfoods.com/,Tualatin,OR,USA,1-800-668-3172,https://www.pacificfoods.com/contact-us/,,,1987,,,Y,"Hemp Original, Unsweeten Hemp Original, Hemp Vanila, Unsweeten Hemp Vanila",,,Dairy,
